Release Date,Month,Title,Director,Cast,Genre,Studio,Budget,Box Office
13,Jan,Haraamkhor,Shlok Sharma,"Nawazuddin Siddiqui , Shweta Tripathi","Comedy,Crime",Sikhya Entertainment; Khusro Films,23,22.7
13,Jan,Ok Jaanu,Shaad Ali,"Aditya Roy Kapur , Shraddha Kapoor","Romance,Drama",Madras Talkies and Dharma Productions,270,410
20,Jan,Coffee with D,Vishal Mishra,"Sunil Grover , Zakir Hussain","Comedy,crime",Apex Entertainment,80,5
25,Jan,Kaabil,Sanjay Gupta,"Hrithik Roshan , Yami Gautam","Action,Thriller",Filmkraft Productions Pvt. Ltd,500,1760
25,Jan,Raees,Rahul Dholakia,"Shah Rukh Khan, Mahira Khan , Nawazuddin Siddiqui","Crime,Action",Red Chillies Entertainment and Excel Entertainment,1270,3080
10,Feb,Hind Ka Napak Ko Jawab: MSG Lion Heart 2,Gurmeet Ram Rahim Singh and Honeypreet Insan,"Gurmeet Ram Rahim Singh, Honeypreet Insan","Action,Drama",Hakikat Entertainment Pvt. Ltd.,120,176
10,Feb,Jolly LLB 2,Subhash Kapoor,"Akshay Kumar, Huma Qureshi , Saurabh Shukla",Drama,Fox Star Studios,300,1970
17,Feb,Chauhar,Raghubeer Singh,"Amit Singh Kashyap, Richa Dixit, Vivek Jha",Romance,Dinkar's Film Productions,0,0
17,Feb,Irada,Aparnaa Singh,"Naseeruddin Shah, Arshad Warsi, Sharad Kelkar , Divya Dutta","Thriller,Drama",Irada Entertainment,75,11
17,Feb,Runningshaadi.com,Amit Roy,"Taapsee Pannu, Amit Sadh , Arsh Bajwa",Comedy,Rising Sun Films,85,134
17,Feb,The Ghazi Attack,Sankalp Reddy,"Rana Daggubati, Taapsee Pannu, Kay Kay Menon , Atul Kulkarni",Action,PVP Cinema and Matinee Entertainment,160,345
24,Feb,Mona Darling,Shashi Sudigala,"Anshuman Jha, Divya Menon, Suzanna Mukherjee, Sanjay Suri",Thriller,First Ray Films,0,0
24,Feb,Rangoon,Vishal Bhardwaj,"Kangana Ranaut, Shahid Kapoor , Saif Ali Khan","War,Drama","Nadiadwala Grandson Entertainment, VB Pictures and Viacom 18 Motion Pictures",800,410
24,Feb,Wedding Anniversary,Shekhar S Jha,"Nana Patekar, Mahie Gill, Priyanshu Chatterjee , Shruti Marathe","Romance,Thriller",V K Productions,0,2.4
03,Mar,Commando 2,Deven Bhojani,"Vidyut Jammwal, Adah Sharma , Esha Gupta",Action,Sunshine Pictures and Pen India Limited,300,260
03,Mar,Jeena Isi Ka Naam Hai,Keshhav Panneriy,"Arbaaz Khan, Ashutosh Rana , Himansh Kohli","Romance,Drama",Bibia Films Pvt. Ltd.,200,3.15
10,Mar,Badrinath Ki Dulhania,Shashank Khaitan,"Varun Dhawan , Alia Bhatt","Romance,Comedy",Dharma Productions,450,2069.5
17,Mar,Aa Gaya Hero,Dipankar Senapati,"Govinda, Ashutosh Rana , Murali Sharma","Action,Comedy",Mangal Tara T.V and Films,85,13.9
17,Mar,Machine,Abbas Mustan,"Mustafa Burmawalla , Kiara Advani","Romance,Thriller",Pen India Limited and Abbas Mustan Productions,300,237
17,Mar,Trapped,Vikramaditya Motwane,"Rajkummar Rao, Geetanjali Thapa , Khushboo Upadhyay",Thriller,Phantom Films,50,35.3
24,Mar,Anaarkali of Aarah,Avinash Das,Swara Bhaskar,Drama,Promodome Motion Pictures,50,10
24,Mar,Bhanwarey,Shaurya Singh,"Shaurya Singh, Karan Thakur, Jashan Singh , Priyanka Shukla",Comedy,Sudha creations,26,12
24,Mar,Phillauri,Anshai Lal,"Anushka Sharma, Diljit Dosanjh, Suraj Sharma , Mehreen Pirzada","Romance,Comedy",Fox Star Studios and Clean Slate Films,290,466
31,Mar,Naam Shabana,Shivam Nair,"Taapsee Pannu, Prithviraj Sukumaran , Akshay Kumar","Action,Thriller",Plan C Studios and Cape Of Good Films,400,367.6
31,Mar,Poorna: Courage Has No Limit,Rahul Bose,"Aditi Inamdar, Rahul Bose , Heeba Shah",Thriller,PVR Pictures and Rahul Bose Productions,50,33.2
07,Apr,Laali Ki Shaadi Mein Laaddoo Deewana,Manish Harishankar,"Vivaan Shah, Akshara Haasan, Gurmeet Choudhary , Kavita Verma","Comedy,Drama",Star Entertainment Worldwide,200,8.1
07,Apr,Mirza Juuliet,Rajesh Ram Singh,"Darshan Kumar, Pia Bajpai , Chandan Roy Sanyal","Comedy,Drama","Green Apple Media, Falansha Media Private Limited and Shemaroo Entertainment",50,6.1
07,Apr,Mukti Bhawan,Shubhashish Bhutiani,"Adil Hussain, Lalit Behl , Navnindra Behl",Drama,Red Carpet Moving Pictures,50,4.7
14,Apr,Begum Jaan,Srijit Mukherji,"Vidya Balan, Ila Arun, Gauhar Khan, Sumit Nijhawan , Chunky Pandey",Period Drama,"Vishesh Films, Shree Venkatesh Films and Play Entertainments",190,209.1
14,Apr,Romeo N Bullet,Aditya Kumar,"Vije Bhatia, Rishi Verma,Mohit Baisla, Raj Kumar",Romance,Jay Shree Ram Productions,0,0
14,Apr,Saanjh,Ajay Saklani,"Aditi Charak, Vishal Parpagga , Rupeshwari Sharma",Drama,Silent Hills Studio,0,0
21,Apr,Ajab Singh Ki Gajab Kahani,Rishi Prakash Mishra,"Yashpal Sharma, Ajay Kumar Singh, Rajesh Jais","Thriller,Drama",Shree Triveni Films International and ,50,0.4
