Date,Month,Year,Title,Director,Cast,Genre,Budget,Box Office
1,Jan,2016,Monsoon Shootout,Amit Kumar,"Nawazuddin Siddiqui, Tannishtha Chatterjee, Neeraj Kabi, Sreejita De",Neo-noir,28,28
8,Jan,2016,Wazir,Bejoy Nambiar,"Amitabh Bachchan, Farhan Akhtar, Aditi Rao Hydari, John Abraham, Neil Nitin Mukesh",Thriller,56,420
15,Jan,2016,Chalk n Duster,Jayant Gilatar,"Shabana Azmi, Juhi Chawla, Divya Dutta, Zarina Wahab, Arya Babbar, Richa Chadha",Drama,30,57
15,Jan,2016,Rebellious Flower,Krishan Hooda,"Prince Shah, Shashank Singh, Mantra Mugdha, Kirti Adarkar, Bachchan Pachera, Shaneel Sinha",Biopic,19,3
22,Jan,2016,Airlift,Raja Krishna Menon,"Akshay Kumar, Nimrat Kaur, Purab Kohli, Ferena Wazeir, Gunjan Malhotra",War/thriller,400,1290
22,Jan,2016,Jugni,Shefali Bhushan,"Sugandha Garg, Siddhant Behl, Sadhana Singh, Anuritta K Jha, Samir Sharma",Musical drama,4,21
22,Jan,2016,Kyaa Kool Hain Hum 3,Umesh Ghadge,"Tushar Kapoor, Aftab Shivdasani, Mandana Karimi, Meghna Naidu, Darshan Jariwala, Krushna Abhishek, Claudia Ciesla, Riteish Deshmukh, Gauhar Khan, Gizele Thakral, VJ Andy, Danny Saru",Adult comedy,280,302.5
29,Jan,2016,Saala Khadoos,Sudha Kongara Prasad,"R. Madhavan, Ritika Singh",Sports,220,147.5
29,Jan,2016,Mastizaade,Milap Milan Zaveri,"Tushar Kapoor, Vir Das, Sunny Leone, Shaad Randhawa, Riteish Deshmukh, Gizele Thakral, Bruna Abdullah",Adult comedy,300,384.2
5,Feb,2016,Sanam Teri Kasam,"Radhika Rao, Vinay Sapru","Mawra Hocane, Harshvardhan Rane, Anurag Sinha, Shraddha Das",Romance,210,90
5,Feb,2016,Ghayal Once Again,Sunny Deol,"Sunny Deol, Soha Ali Khan, Aanchal Munjal, Daina Khan, Shivam Patil, Rishabh Arora, Abhilash Kumar",Drama/action,400,400
12,Feb,2016,Fitoor,Abhishek Kapoor,"Aditya Roy Kapoor, Katrina Kaif, Tabu, Ajay Devgn, Aditi Rao Hydari, Akshay Oberoi, Lara Dutta, Rahul Bhatt",Romance/drama,600,186.1
12,Feb,2016,Sanam Re,Divya Khosla Kumar,"Pulkit Samrat, Yami Gautam, Urvashi Rautela, Rishi Kapoor, Divya Khosla Kumar, Bharti Singh, Shreyas Pardiwalla",Romance,205,303.2
19,Feb,2016,Direct Ishq,Rajiv S. Ruia,"Rajneesh Duggal, Nidhi Subbaiah, Arjun Bijlani",Drama,28,32
19,Feb,2016,Ishq Forever,Sameer Sippy,"Krishna Chaturvedi, Ruhi Singh, Javed Jaffrey, Lisa Ray",Drama,70,2
19,Feb,2016,LoveShhuda,Vaibhav Mishra,"Girish Kumar, Navneet Kaur Dhillon, Benaf Dadachandji, Yash Pandit",Romance,200,57
