,Release Date,Title,Director,Cast,Genre,Studio
0,13-Jan,Haraamkhor,Shlok Sharma,"Nawazuddin Siddiqui , Shweta Tripathi","Comedy,Crime",Sikhya Entertainment; Khusro Films
1,13-Jan,Ok Jaanu,Shaad Ali,"Aditya Roy Kapur , Shraddha Kapoor","Romance,Drama",Madras Talkies and Dharma Productions
2,20-Jan,Coffee with D,Vishal Mishra,"Sunil Grover , Zakir Hussain","Comedy,crime",Apex Entertainment
3,25-Jan,Kaabil,Sanjay Gupta,"Hrithik Roshan , Yami Gautam","Action,thriller",Filmkraft Productions Pvt. Ltd
4,25-Jan,Raees,Rahul Dholakia,"Shah Rukh Khan, Mahira Khan , Nawazuddin Siddiqui","Crime,action",Red Chillies Entertainment and Excel Entertainment
5,10-Feb,Jolly LLB 2,Subhash Kapoor,"Akshay Kumar, Huma Qureshi , Saurabh Shukla",Drama,Fox Star Studios
6,10-Feb,Hind Ka Napak Ko Jawab: MSG Lion Heart 2,Gurmeet Ram Rahim Singh and Honeypreet Insan,"Gurmeet Ram Rahim Singh, Honeypreet Insan","Action,drama",Hakikat Entertainment Pvt. Ltd.
7,17-Feb,Runningshaadi.com,Amit Roy,"Taapsee Pannu, Amit Sadh , Arsh Bajwa",Comedy,Rising Sun Films
8,17-Feb,The Ghazi Attack,Sankalp Reddy,"Rana Daggubati, Taapsee Pannu, Kay Kay Menon , Atul Kulkarni",Action,PVP Cinema and Matinee Entertainment
9,17-Feb,Irada,Aparnaa Singh,"Naseeruddin Shah, Arshad Warsi, Sharad Kelkar , Divya Dutta","Thriller,drama",Irada Entertainment
10,17-Feb,Chauhar,Raghubeer Singh,"Amit Singh Kashyap, Richa Dixit, Vivek Jha",Romance,Dinkar's Film Productions
11,24-Feb,Rangoon,Vishal Bhardwaj,"Kangana Ranaut, Shahid Kapoor , Saif Ali Khan","War,drama","Nadiadwala Grandson Entertainment, VB Pictures and Viacom 18 Motion Pictures"
12,24-Feb,Wedding Anniversary,Shekhar S Jha,"Nana Patekar, Mahie Gill, Priyanshu Chatterjee , Shruti Marathe","Romance,thriller",V K Productions
13,24-Feb,Mona Darling,Shashi Sudigala,"Anshuman Jha, Divya Menon, Suzanna Mukherjee, Sanjay Suri",Thriller,First Ray Films
14,03-Mar,Commando 2,Deven Bhojani,"Vidyut Jammwal, Adah Sharma , Esha Gupta",Action,Sunshine Pictures and Pen India Limited
15,03-Mar,Jeena Isi Ka Naam Hai,Keshhav Panneriy,"Arbaaz Khan, Ashutosh Rana , Himansh Kohli","Romance,drama",Bibia Films Pvt. Ltd.
16,10-Mar,Badrinath Ki Dulhania,Shashank Khaitan,"Varun Dhawan , Alia Bhatt","Romance,comedy",Dharma Productions
17,17-Mar,Aa Gaya Hero,Dipankar Senapati,"Govinda, Ashutosh Rana , Murali Sharma","Action,comedy",Mangal Tara T.V and Films
